locations/id,locations/response/destination_addresses/0,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value
https://reality.idnes.cz/detail/prodej/byt/praha-3-na-jarove/600ad6e9548df1346e6328d3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Sokolovská 274, Libeň, 180 00 Praha-Praha 9, Czechia","Na Jarově 2049, 130 00 Praha 3-Žižkov, Czechia",OK,OK,3.3 km,3259,39 mins,2326
https://reality.idnes.cz/detail/prodej/byt/praha-10-k-louzi/604a25005429a606e1652c54/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jičínská 10, 130 00 Praha 3-Vinohrady, Czechia","K Louži 1262, 101 00 Praha 10-Vršovice, Czechia",OK,OK,1.5 km,1529,22 mins,1341
https://www.prazskereality.cz/v-exkluzivnim-zastoupeni-vlastnika-nabizime-k-prodeji-po-7372181.html,"U Obecního domu 660/6, 110 00 Praha 1-Staré Město, Czechia","Rybná 21, 110 00 Praha 1-Staré Město, Czechia",OK,OK,0.4 km,384,5 mins,294
https://reality.idnes.cz/detail/prodej/byt/praha-9-ucnovska/5f8d7e33aa5b1f36cd73f60d/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Sokolovská 274, Libeň, 180 00 Praha-Praha 9, Czechia","Učňovská 9, 190 00 Praha 9, Czechia",OK,OK,3.1 km,3132,37 mins,2242
https://reality.idnes.cz/detail/prodej/byt/praha-10-zitomirska/6012eef8a9f78e2922733163/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jičínská 10, 130 00 Praha 3-Vinohrady, Czechia","Madridská 1396, 101 00 Praha 10-Vršovice, Czechia",OK,OK,1.2 km,1161,17 mins,997
https://reality.idnes.cz/detail/prodej/byt/praha-10-petrohradska/608a703819c15702822b7bc3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Vinohradská 878, 130 00 Praha 3-Vinohrady, Czechia","Petrohradská 6/7, 101 00 Praha 10-Vršovice, Czechia",OK,OK,1.5 km,1529,22 mins,1330
https://sreality.cz/detail/prodej/byt/3+1/praha-prosek-bilinska/3125828956,"Metro Střížkov, vestibul stanice metra, 190 00 Praha-Praha 9, Czechia","Bílinská 9, 190 00 Praha 9-Prosek, Czechia",OK,OK,0.5 km,545,6 mins,384
https://reality.idnes.cz/detail/prodej/byt/praha-1-senovazne-namesti/608152d5d2e350769330dd02/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Havlíčkova 1462/7, Nové Město, 110 00 Praha-Praha 1, Czechia","Senovážné nám. 978/23, Nové Město, 110 00 Praha-Praha 1, Czechia",OK,OK,0.3 km,289,4 mins,210
https://reality.idnes.cz/detail/prodej/byt/praha-4-k-vystrkovu/5ff31a4373bfa750f5146fe6/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Smíchovské nádraží, 150 00 Praha-Praha 5, Czechia","K Vystrkovu 4, 143 00 Praha 12, Czechia",OK,OK,7.7 km,7663,1 hour 33 mins,5604
https://www.remax-czech.cz/reality/detail/310277/prodej-bytu-3-1-v-osobnim-vlastnictvi-68-m2-praha-4-nusle,"Děkanská vinice I 1634/17, 140 00 Praha 4-Nusle, Czechia","Kotorská 1572/18, 140 00 Praha 4-Nusle, Czechia",OK,OK,0.5 km,490,6 mins,346
